Barcode,Epc,Item,Description,Picture URL,Department,Category,Size,Color,Price
4961004567295,30352ECBB03766403B9ACA01,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA02,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA03,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA04,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA05,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA06,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA07,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA08,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA09,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA0A,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA0B,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA0C,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567295,30352ECBB03766403B9ACA0D,100011,DN T-Shirt,,Unisex,Shirt,L,Green,30
4961004567288,30352ECBB03766003B9ACA01,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA02,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA03,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA04,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA05,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA06,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA07,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA08,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567288,30352ECBB03766003B9ACA09,100011,DN T-Shirt,,Unisex,Shirt,XS,Yellow,30
4961004567271,30352ECBB03765C03B9ACA01,100011,DN T-Shirt,,Unisex,Shirt,M,Yellow,30
